ID,Team1Name,Team2Name,diff_DefensiveEfficiency,diff_OffensiveEfficiency,diff_OppAst,diff_OppBlk,diff_OppDR,diff_OppFGA,diff_OppFGA3,diff_OppFGM,diff_OppFGM3,diff_OppFTA,diff_OppFTM,diff_OppOR,diff_OppPF,diff_OppScore,diff_OppStl,diff_OppTO,diff_SeedNum,diff_TeamAvgAst,diff_TeamAvgBlk,diff_TeamAvgDR,diff_TeamAvgFGA,diff_TeamAvgFGA3,diff_TeamAvgFGM,diff_TeamAvgFGM3,diff_TeamAvgFTA,diff_TeamAvgFTM,diff_TeamAvgOR,diff_TeamAvgPF,diff_TeamAvgScore,diff_TeamAvgStl,diff_TeamAvgTO,diff_Tempo,diff_conf_eigen_rating,diff_conf_massey_rating,diff_eigen_rating,diff_massey_rating,tempo_diff,rating_diff_x_tempo_diff
2025_1103_1104,Akron,Alabama,-2.1074610491316577,-3.677893482610898,-0.7291666666666661,-1.8049242424242422,-0.9507575757575744,-6.7159090909090935,-0.5653409090909101,-2.22159090909091,0.07386363636363669,-2.3731060606060623,-1.1486742424242422,-1.489583333333334,-4.005681818181817,-5.517992424242422,-0.6306818181818183,1.9393939393939394,11.0,0.8693181818181834,-0.7357954545454541,-3.4886363636363633,-0.2992424242424221,-0.694128787878789,-0.8721590909090899,0.23200757575757613,-8.660984848484848,-5.640151515151516,-1.0009469696969688,-0.7490530303030312,-7.152462121212125,1.5018939393939394,-0.37121212121211933,-3.783475378787884,-0.29974200159225395,-25.462723395032963,-0.0593842889849879,-22.41766279918706,-3.783475378787884,84.81667525069331
2025_1103_1106,Akron,Alabama St,0.5189437068316209,11.830124374237343,-0.5473484848484844,-0.8352272727272729,-5.193181818181817,4.617424242424242,0.9498106060606091,1.8693181818181834,-0.04734848484848442,-1.2821969696969688,-0.2698863636363633,-0.30776515151515227,0.6912878787878789,3.4214015151515156,1.9450757575757578,-0.06060606060606055,-3.0,6.2935606060606055,0.8399621212121211,2.3598484848484844,1.337121212121211,2.18465909090909,5.097537878787879,1.8077651515151523,-1.5700757575757613,-0.21590909090909172,0.6354166666666661,0.06912878787878896,11.786931818181813,-0.07386363636363669,3.0227272727272734,2.9786458333333314,0.023316145415565495,8.887698684645123,0.018954569408515698,12.772008813348506,2.9786458333333314,38.04329083517712
2025_1103_1110,Akron,American Univ,-2.973000290308377,8.637845140863917,-0.4375,-0.375,-1.34375,8.09375,4.34375,2.125,1.0625,2.5,2.5,1.375,1.375,7.8125,1.53125,1.28125,-3.0,5.40625,1.90625,3.65625,10.4375,5.0625,6.625,2.21875,1.375,0.875,3.46875,0.5625,16.34375,1.25,1.875,9.496875000000003,0.03235934540386359,2.2603063888602613,0.0099558962222012,10.551842843007329,9.496875000000003,100.20953249968525
2025_1103_1112,Akron,Arizona,2.0341245488536543,0.032139041067253515,-1.6213235294117645,-0.23897058823529393,1.742647058823529,-0.03676470588235503,-2.3915441176470544,1.1875,-1.2095588235294112,2.7757352941176485,2.2996323529411757,-0.038602941176471006,-0.8639705882352935,3.465073529411768,0.7757352941176467,0.9117647058823515,9.0,1.3933823529411775,-0.5753676470588234,-0.8308823529411775,3.330882352941174,8.034926470588236,1.4834558823529456,3.8327205882352944,-5.047794117647054,-4.5661764705882355,-0.53125,1.634191176470587,2.233455882352942,-0.14338235294117663,0.485294117647058,1.9497242647058783,-0.1537652915662103,-22.650719376290507,-0.0394186206413552,-19.575572356579173,1.9497242647058783,-38.16696841912805
2025_1103_1116,Akron,Arkansas,3.6331717354700146,6.940508107322444,-0.36553030303030454,-0.16856060606060597,-1.0416666666666679,1.0113636363636331,-0.5047348484848477,1.3541666666666679,-0.1685606060606064,2.929924242424242,2.2149621212121193,0.025568181818181657,-0.49053030303030454,4.754734848484844,0.39962121212121193,0.21212121212121282,3.0,3.232954545454543,-1.9176136363636367,0.3598484848484844,5.882575757575758,7.699810606060609,3.0672348484848477,3.535037878787879,-3.5094696969696955,-2.3068181818181817,2.423295454545454,2.160037878787879,7.362689393939391,-0.04356060606060641,0.2954545454545432,2.087736742424241,-0.29974200159225395,-25.462723395032963,-0.025423122001780506,-13.095392843849723,2.087736742424241,-27.339732796584535
2025_1103_1120,Akron,Auburn,3.1478379172584567,-6.291778381629058,2.4526515151515156,-0.28977272727272707,1.2613636363636367,3.768939393939391,3.313446969696969,3.1117424242424256,1.5890151515151514,-1.918560606060609,-1.5123106060606055,-0.06534090909090828,-0.7026515151515156,6.300189393939391,1.1268939393939394,0.9090909090909083,12.0,1.2026515151515156,-2.4630681818181817,0.9356060606060623,2.5795454545454533,4.124053030303031,0.5217803030303045,1.4744318181818183,-3.4488636363636367,-2.3977272727272716,-0.21306818181818166,-0.3248106060606091,0.12026515151515582,0.5928030303030303,2.8409090909090917,3.995312499999997,-0.29974200159225395,-25.462723395032963,-0.0693541853483845,-26.028335547386675,3.995312499999997,-103.99133436666826
2025_1103_1124,Akron,Baylor,0.0029501618810598984,2.2907696667100055,-2.65625,-1.5,0.4375,5.96875,0.75,2.34375,-0.5625,2.125,2.125,-0.15625,-0.03125,6.25,1.40625,-0.03125,4.0,3.4375,1.0,3.46875,4.3125,5.03125,3.5625,2.3125,-1.375,-0.96875,-0.71875,1.8125,8.46875,0.15625,1.71875,6.096874999999997,-0.1537652915662103,-22.650719376290507,-0.024895718262047804,-15.87255541973078,6.096874999999997,-96.77298632467105
2025_1103_1136,Akron,Bryant,2.1505243809439207,5.211120985295324,0.5,0.03125,-1.90625,-2.34375,0.375,0.0,0.03125,1.59375,1.34375,0.3125,-0.5625,1.375,0.46875,0.5625,-2.0,3.40625,-2.3125,-0.96875,-0.75,6.53125,0.90625,3.125,-2.5625,-1.3125,-1.78125,2.1875,3.625,0.9375,-0.03125,-0.21718749999999432,0.03035126388709619,2.8475767384865867,0.0108186032375088,5.279243006377628,-0.21718749999999432,-1.1465855904476112
2025_1103_1140,Akron,BYU,1.8829809984914903,-1.5537479185829568,-1.0625,-0.1988636363636358,1.625,3.2840909090909065,-2.444128787878789,1.77840909090909,-1.5321969696969688,3.566287878787879,3.0028409090909083,1.3285984848484844,0.26704545454545325,5.027462121212125,0.6117424242424239,0.6363636363636367,7.0,0.4450757575757578,0.5672348484848486,0.7234848484848477,4.4280303030303045,0.24526515151515227,1.430871212121211,-0.04071969696969546,-0.8125,0.17803030303030454,0.7263257575757578,2.160037878787879,2.999053030303031,0.4109848484848486,0.2954545454545432,3.6112215909090963,-0.1537652915662103,-22.650719376290507,-0.0339921604543977,-16.260384860610074,3.6112215909090963,-58.7198528851265
2025_1103_1155,Akron,Clemson,5.204516545416055,0.28857120763757393,1.4526515151515156,-0.501893939393939,0.9886363636363633,5.223484848484851,1.8589015151515156,2.6875,0.5284090909090908,5.202651515151516,4.336174242424242,-0.035037878787878896,0.6306818181818166,10.239583333333329,1.0359848484848486,-0.3333333333333339,8.0,3.2935606060606055,0.11268939393939403,2.1780303030303045,4.882575757575758,6.336174242424239,2.6732954545454533,2.201704545454545,0.49053030303030454,0.08712121212121282,0.3020833333333339,3.069128787878787,7.635416666666671,0.07765151515151558,1.75,6.563494318181824,-0.1861238309184867,-17.12134403180914,-0.036809393782567,-14.960823066477413,6.563494318181824,-98.19527719214808
