season,team1_id,team1_name,team1_score,team1_massey_rating,team2_id,team2_name,team2_score,team2_massey_rating,eigen_diff,massey_diff,seed_diff,conf1,conf2,label
2023,1338,Pittsburgh,60,10.292797062483254,1280,Mississippi St,59,12.40570192581476,0.0013827861472628933,-2.112904863331506,0,acc,sec,1
2023,1280,Mississippi St,59,12.40570192581476,1338,Pittsburgh,60,10.292797062483254,-0.0013827861472628933,2.112904863331506,0,sec,acc,0
2023,1394,TAM C. Christi,75,-1.984582832687069,1369,SE Missouri St,71,-6.846115383746449,0.00046051648903472353,4.86153255105938,0,southland,ovc,1
2023,1369,SE Missouri St,71,-6.846115383746449,1394,TAM C. Christi,75,-1.984582832687069,-0.00046051648903472353,-4.86153255105938,0,ovc,southland,0
2023,1113,Arizona St,98,11.348496210819812,1305,Nevada,73,11.685141900010146,0.013706305915407224,-0.336645689190334,0,pac_twelve,mwc,1
2023,1305,Nevada,73,11.685141900010146,1113,Arizona St,98,11.348496210819812,-0.013706305915407224,0.336645689190334,0,mwc,pac_twelve,0
2023,1192,F Dickinson,84,-11.052652906808651,1411,TX Southern,61,-9.118148968671074,-0.006389820712325064,-1.9345039381375777,0,nec,swac,1
2023,1411,TX Southern,61,-9.118148968671074,1192,F Dickinson,84,-11.052652906808651,0.006389820712325064,1.9345039381375777,0,swac,nec,0
2023,1104,Alabama,96,24.17517443753491,1394,TAM C. Christi,75,-1.984582832687069,0.07497993714135655,26.159757270221977,-15,sec,southland,1
2023,1394,TAM C. Christi,75,-1.984582832687069,1104,Alabama,96,24.17517443753491,-0.07497993714135655,-26.159757270221977,15,southland,sec,0
2023,1116,Arkansas,73,16.97804401700828,1228,Illinois,63,15.69261693435142,0.0006927610583669364,1.2854270826568595,-1,sec,big_ten,1
2023,1228,Illinois,63,15.69261693435142,1116,Arkansas,73,16.97804401700828,-0.0006927610583669364,-1.2854270826568595,1,big_ten,sec,0
2023,1120,Auburn,83,15.296508342372698,1234,Iowa,75,14.948876172563336,-0.003878560550791693,0.34763216980936207,1,sec,big_ten,1
2023,1234,Iowa,75,14.948876172563336,1120,Auburn,83,15.296508342372698,0.003878560550791693,-0.34763216980936207,-1,big_ten,sec,0
2023,1181,Duke,74,15.952382122862508,1331,Oral Roberts,51,9.929660850409016,0.045191865019447656,6.0227212724534915,-7,acc,summit,1
2023,1331,Oral Roberts,51,9.929660850409016,1181,Duke,74,15.952382122862508,-0.045191865019447656,-6.0227212724534915,7,summit,acc,0
2023,1202,Furman,68,5.455411328227474,1438,Virginia,67,14.011724061041846,-0.041102676481244854,-8.556312732814373,9,southern,acc,1
