Season,Team1,Team2,RatingDiff,Team1Win
2003,Alabama,Indiana,1.027994051597375,0
2003,Arizona,Gonzaga,11.700246564359091,1
2003,Arizona,Kansas,-0.9994267257252218,0
2003,Arizona,Notre Dame,6.058860767507426,1
2003,Arizona,Vermont,24.71522043339652,1
2003,Arizona St,Kansas,-8.941538835252477,0
2003,Arizona St,Memphis,1.660954673494981,1
2003,Auburn,St Joseph's PA,-2.535582308044587,1
2003,Auburn,Syracuse,-5.2615589714988875,0
2003,Auburn,Wake Forest,-5.3992530276691415,1
2003,Austin Peay,Louisville,-21.260452208470035,0
2003,Butler,Louisville,-12.613003048420852,1
2003,Butler,Mississippi St,-10.230613908317592,1
2003,Butler,Oklahoma,-11.715781351872314,0
2003,BYU,Connecticut,-1.433529926087953,0
2003,C Michigan,Creighton,-8.963163043242362,1
2003,C Michigan,Duke,-12.502949571550472,0
2003,California,NC State,0.15657098832905447,1
2003,California,Oklahoma,-7.844886933883156,0
2003,Cincinnati,Gonzaga,1.615983492138886,0
2003,Colorado,Michigan St,-1.688514498102375,0
2003,Colorado St,Duke,-13.953806038307823,0
2003,Connecticut,BYU,1.433529926087953,1
2003,Connecticut,Stanford,1.643312866282157,1
2003,Connecticut,Texas,-4.047505562212432,0
2003,Creighton,C Michigan,8.963163043242362,0
2003,Dayton,Tulsa,1.9026318470251127,0
2003,Duke,C Michigan,12.502949571550472,1
2003,Duke,Colorado St,13.953806038307823,1
2003,Duke,Kansas,-5.082921570054303,0
2003,ETSU,Wake Forest,-19.342005104392204,0
2003,Florida,Michigan St,4.229351575903703,0
2003,Florida,Sam Houston St,20.21834690242485,1
2003,Gonzaga,Arizona,-11.700246564359091,0
2003,Gonzaga,Cincinnati,-1.615983492138886,1
2003,Holy Cross,Marquette,-11.54424473824249,0
2003,Illinois,Notre Dame,2.9506310252097627,0
2003,Illinois,WKU,13.025798345300895,1
2003,Indiana,Alabama,-1.027994051597375,1
2003,Indiana,Pittsburgh,-8.27443159518995,0
2003,IUPUI,Kentucky,-24.790429455721608,0
2003,Kansas,Arizona,0.9994267257252218,1
2003,Kansas,Arizona St,8.941538835252477,1
2003,Kansas,Duke,5.082921570054303,1
2003,Kansas,Marquette,8.026176319634505,1
2003,Kansas,Syracuse,6.944514489784773,0
2003,Kansas,Utah St,20.922813954119675,1
2003,Kentucky,IUPUI,24.790429455721608,1
2003,Kentucky,Marquette,6.355692024400792,0
2003,Kentucky,Utah,11.488821874521916,1
2003,Kentucky,Wisconsin,4.854090120339517,1
2003,Louisville,Austin Peay,21.260452208470035,1
