Season,WTeamID,WTeamName,WScore,LTeamID,LTeamName,LScore,tourney_game,WTeamRating,LTeamRating
2011,1219,High Point,66,1205,Gardner Webb,64,False,0.21961478543158286,0.1905930121704313
2011,1251,Liberty,70,1342,Presbyterian,61,False,0.41021396775330754,0.21867338751048357
2011,1421,UNC Asheville,70,1347,Radford,50,False,0.3531509531755695,0.07030763979844257
2011,1457,Winthrop,88,1440,VMI,82,False,0.3011160534758574,0.3030036930308751
2011,1157,Coastal Car,73,1149,Charleston So,71,False,0.5586623300000266,0.2740540556738707
2011,1205,Gardner Webb,59,1347,Radford,52,False,0.1905930121704313,0.07030763979844257
2011,1219,High Point,76,1421,UNC Asheville,73,False,0.21961478543158286,0.3531509531755695
2011,1251,Liberty,75,1457,Winthrop,72,False,0.41021396775330754,0.3011160534758574
2011,1342,Presbyterian,92,1440,VMI,78,False,0.21867338751048357,0.3030036930308751
2011,1149,Charleston So,77,1219,High Point,69,False,0.2740540556738707,0.21961478543158286
2011,1157,Coastal Car,77,1347,Radford,59,False,0.5586623300000266,0.07030763979844257
2011,1251,Liberty,64,1205,Gardner Webb,62,False,0.41021396775330754,0.1905930121704313
2011,1440,VMI,83,1421,UNC Asheville,72,False,0.3030036930308751,0.3531509531755695
2011,1457,Winthrop,53,1342,Presbyterian,51,False,0.3011160534758574,0.21867338751048357
2011,1149,Charleston So,73,1347,Radford,58,False,0.2740540556738707,0.07030763979844257
2011,1157,Coastal Car,78,1219,High Point,60,False,0.5586623300000266,0.21961478543158286
2011,1251,Liberty,59,1421,UNC Asheville,55,False,0.41021396775330754,0.3531509531755695
2011,1440,VMI,97,1205,Gardner Webb,76,False,0.3030036930308751,0.1905930121704313
2011,1157,Coastal Car,109,1440,VMI,87,False,0.5586623300000266,0.3030036930308751
2011,1251,Liberty,68,1149,Charleston So,54,False,0.41021396775330754,0.2740540556738707
2011,1342,Presbyterian,78,1205,Gardner Webb,44,False,0.21867338751048357,0.1905930121704313
2011,1421,UNC Asheville,88,1457,Winthrop,67,False,0.3531509531755695,0.3011160534758574
2011,1149,Charleston So,88,1440,VMI,80,False,0.2740540556738707,0.3030036930308751
2011,1157,Coastal Car,70,1251,Liberty,67,False,0.5586623300000266,0.41021396775330754
2011,1347,Radford,64,1219,High Point,59,False,0.07030763979844257,0.21961478543158286
2011,1421,UNC Asheville,74,1342,Presbyterian,48,False,0.3531509531755695,0.21867338751048357
2011,1457,Winthrop,63,1205,Gardner Webb,48,False,0.3011160534758574,0.1905930121704313
2011,1149,Charleston So,76,1342,Presbyterian,71,False,0.2740540556738707,0.21867338751048357
2011,1157,Coastal Car,74,1457,Winthrop,69,False,0.5586623300000266,0.3011160534758574
2011,1251,Liberty,66,1219,High Point,60,False,0.41021396775330754,0.21961478543158286
2011,1440,VMI,105,1347,Radford,71,False,0.3030036930308751,0.07030763979844257
2011,1149,Charleston So,69,1457,Winthrop,60,False,0.2740540556738707,0.3011160534758574
2011,1157,Coastal Car,60,1342,Presbyterian,42,False,0.5586623300000266,0.21867338751048357
2011,1251,Liberty,61,1347,Radford,53,False,0.41021396775330754,0.07030763979844257
2011,1421,UNC Asheville,68,1205,Gardner Webb,59,False,0.3531509531755695,0.1905930121704313
2011,1440,VMI,97,1219,High Point,91,False,0.3030036930308751,0.21961478543158286
2011,1157,Coastal Car,80,1421,UNC Asheville,59,False,0.5586623300000266,0.3531509531755695
2011,1205,Gardner Webb,58,1149,Charleston So,50,False,0.1905930121704313,0.2740540556738707
2011,1219,High Point,64,1342,Presbyterian,60,False,0.21961478543158286,0.21867338751048357
2011,1251,Liberty,100,1440,VMI,82,False,0.41021396775330754,0.3030036930308751
2011,1457,Winthrop,74,1347,Radford,58,False,0.3011160534758574,0.07030763979844257
2011,1157,Coastal Car,58,1205,Gardner Webb,55,False,0.5586623300000266,0.1905930121704313
2011,1342,Presbyterian,67,1347,Radford,61,False,0.21867338751048357,0.07030763979844257
2011,1421,UNC Asheville,77,1149,Charleston So,69,False,0.3531509531755695,0.2740540556738707
2011,1457,Winthrop,77,1219,High Point,49,False,0.3011160534758574,0.21961478543158286
2011,1149,Charleston So,70,1347,Radford,62,False,0.2740540556738707,0.07030763979844257
2011,1157,Coastal Car,82,1219,High Point,58,False,0.5586623300000266,0.21961478543158286
2011,1251,Liberty,83,1421,UNC Asheville,81,False,0.41021396775330754,0.3531509531755695
2011,1440,VMI,85,1205,Gardner Webb,66,False,0.3030036930308751,0.1905930121704313
2011,1157,Coastal Car,86,1347,Radford,63,False,0.5586623300000266,0.07030763979844257
2011,1219,High Point,77,1149,Charleston So,75,False,0.21961478543158286,0.2740540556738707
2011,1251,Liberty,67,1205,Gardner Webb,51,False,0.41021396775330754,0.1905930121704313
2011,1342,Presbyterian,76,1457,Winthrop,74,False,0.21867338751048357,0.3011160534758574
2011,1421,UNC Asheville,100,1440,VMI,87,False,0.3531509531755695,0.3030036930308751
2011,1219,High Point,69,1342,Presbyterian,62,False,0.21961478543158286,0.21867338751048357
2011,1347,Radford,67,1457,Winthrop,66,False,0.07030763979844257,0.3011160534758574
2011,1149,Charleston So,101,1440,VMI,90,False,0.2740540556738707,0.3030036930308751
2011,1157,Coastal Car,77,1251,Liberty,71,False,0.5586623300000266,0.41021396775330754
2011,1421,UNC Asheville,88,1342,Presbyterian,55,False,0.3531509531755695,0.21867338751048357
2011,1457,Winthrop,60,1205,Gardner Webb,57,False,0.3011160534758574,0.1905930121704313
2011,1157,Coastal Car,99,1440,VMI,86,False,0.5586623300000266,0.3030036930308751
2011,1205,Gardner Webb,63,1342,Presbyterian,62,False,0.1905930121704313,0.21867338751048357
2011,1219,High Point,72,1347,Radford,70,False,0.21961478543158286,0.07030763979844257
2011,1251,Liberty,70,1149,Charleston So,69,False,0.41021396775330754,0.2740540556738707
2011,1457,Winthrop,57,1421,UNC Asheville,53,False,0.3011160534758574,0.3531509531755695
2011,1157,Coastal Car,61,1342,Presbyterian,41,False,0.5586623300000266,0.21867338751048357
2011,1251,Liberty,79,1347,Radford,71,False,0.41021396775330754,0.07030763979844257
2011,1440,VMI,87,1219,High Point,74,False,0.3030036930308751,0.21961478543158286
2011,1457,Winthrop,75,1149,Charleston So,68,False,0.3011160534758574,0.2740540556738707
2011,1157,Coastal Car,61,1457,Winthrop,56,False,0.5586623300000266,0.3011160534758574
2011,1251,Liberty,65,1219,High Point,54,False,0.41021396775330754,0.21961478543158286
2011,1342,Presbyterian,61,1149,Charleston So,48,False,0.21867338751048357,0.2740540556738707
2011,1421,UNC Asheville,57,1205,Gardner Webb,54,False,0.3531509531755695,0.1905930121704313
2011,1440,VMI,71,1347,Radford,58,False,0.3030036930308751,0.07030763979844257
2011,1149,Charleston So,79,1421,UNC Asheville,70,False,0.2740540556738707,0.3531509531755695
2011,1205,Gardner Webb,59,1157,Coastal Car,57,False,0.1905930121704313,0.5586623300000266
2011,1219,High Point,70,1457,Winthrop,69,False,0.21961478543158286,0.3011160534758574
2011,1342,Presbyterian,52,1347,Radford,49,False,0.21867338751048357,0.07030763979844257
2011,1440,VMI,79,1251,Liberty,69,False,0.3030036930308751,0.41021396775330754
2011,1149,Charleston So,72,1205,Gardner Webb,61,False,0.2740540556738707,0.1905930121704313
2011,1421,UNC Asheville,61,1157,Coastal Car,58,False,0.3531509531755695,0.5586623300000266
2011,1205,Gardner Webb,71,1347,Radford,63,False,0.1905930121704313,0.07030763979844257
2011,1421,UNC Asheville,76,1219,High Point,62,False,0.3531509531755695,0.21961478543158286
2011,1440,VMI,80,1342,Presbyterian,74,False,0.3030036930308751,0.21867338751048357
2011,1457,Winthrop,61,1251,Liberty,56,False,0.3011160534758574,0.41021396775330754
2011,1157,Coastal Car,81,1149,Charleston So,77,False,0.5586623300000266,0.2740540556738707
2011,1205,Gardner Webb,64,1219,High Point,40,False,0.1905930121704313,0.21961478543158286
2011,1342,Presbyterian,73,1251,Liberty,66,False,0.21867338751048357,0.41021396775330754
2011,1421,UNC Asheville,81,1347,Radford,58,False,0.3531509531755695,0.07030763979844257
2011,1440,VMI,89,1457,Winthrop,85,False,0.3030036930308751,0.3011160534758574
